Timestamp,Temperature_C,Temperature_Max_C,Temperature_Min_C,Humidity_Percent,Solar_Irradiance_W_m2,Clear_Sky_Irradiance_W_m2,Rainfall_mm,Wind_Speed_m_s,Clear_Sky_Index,Soil_Moisture_Percent,Groundwater_Depth_m,Power_Output_W
2024-01-01 00:00:00,30.4,32.4,28.8,31.3,23.7,0.0,0.0,3.1,0.0,35.0,8.5,116.0
2024-01-01 01:00:00,29.4,30.0,28.7,27.9,12.2,0.0,0.0,1.3,0.0,35.0,8.5,60.2
2024-01-01 02:00:00,32.7,34.6,30.8,28.9,0.0,0.0,0.0,2.8,0.0,35.0,8.5,0.0
2024-01-01 03:00:00,29.4,29.9,28.1,35.2,0.0,0.0,0.0,2.5,0.0,35.0,8.5,0.0
2024-01-01 04:00:00,30.0,30.4,29.9,22.2,11.1,0.0,0.0,2.6,0.0,35.0,8.5,54.3
2024-01-01 05:00:00,27.2,27.4,25.3,26.5,0.0,0.0,0.0,2.6,0.0,35.0,8.5,0.0
2024-01-01 06:00:00,26.5,27.7,25.8,40.6,0.0,0.0,0.0,2.3,0.0,35.0,8.5,0.0
2024-01-01 07:00:00,25.8,27.3,24.7,39.1,0.0,12.5,0.0,2.4,0.0,34.9,8.5,0.0
2024-01-01 08:00:00,24.4,25.5,22.6,52.8,149.8,167.3,0.0,2.3,0.895,34.9,8.5,749.5
2024-01-01 09:00:00,22.1,23.8,21.8,41.4,364.9,384.5,0.0,3.4,0.949,34.9,8.5,1825.7
2024-01-01 10:00:00,21.6,22.7,20.8,57.3,579.3,599.9,0.0,2.7,0.966,34.9,8.5,2898.7
2024-01-01 11:00:00,19.7,21.6,19.2,54.2,727.4,765.0,0.0,3.6,0.951,34.9,8.5,3640.1
2024-01-01 12:00:00,16.4,17.4,14.5,57.9,766.0,845.3,0.0,2.7,0.906,34.9,8.5,3832.8
2024-01-01 13:00:00,19.9,20.0,18.2,53.7,787.2,824.8,0.0,3.6,0.954,34.9,8.5,3939.0
2024-01-01 14:00:00,17.0,17.4,15.6,57.2,664.8,707.5,0.0,2.6,0.94,34.9,8.5,3326.7
2024-01-01 15:00:00,19.6,21.3,18.5,58.7,499.2,517.4,0.0,2.9,0.965,34.9,8.5,2498.1
2024-01-01 16:00:00,16.9,18.5,15.6,58.9,286.9,294.8,0.0,2.7,0.973,34.9,8.5,1435.5
