Timestamp,Temperature_C,Temperature_Max_C,Temperature_Min_C,Humidity_Percent,Solar_Irradiance_W_m2,Clear_Sky_Irradiance_W_m2,Rainfall_mm,Wind_Speed_m_s,Clear_Sky_Index,Soil_Moisture_Percent,Groundwater_Depth_m,Power_Output_W
01-01-2024 00:00,18.6,18.6,18.6,88.2,0,0,0,2.9,0,30,9,0
01-01-2024 01:00,18,18.6,18,92.8,0,0,0,2.6,0,30,9,0
01-01-2024 02:00,17.5,18.6,17.5,95.6,0,0,0,2.3,0,30,9,0
01-01-2024 03:00,17.5,18.6,17.5,95.8,0,0,0,2.3,0,30,9,0
01-01-2024 04:00,17.3,18.6,17.3,95.8,0,0,0,2.3,0,29.9,9,0
01-01-2024 05:00,17.1,18.6,17.1,96.3,0,0,0,2.1,0,29.9,9,0
01-01-2024 06:00,17.2,18.6,17.1,94.6,22.2,22.2,0,2.3,1,29.9,9,111.1
01-01-2024 07:00,19.4,19.4,17.1,81.3,188.9,188.9,0,3.2,1,29.9,9,945.3
01-01-2024 08:00,22.5,22.5,17.1,65.2,391.7,391.7,0,3.4,1,29.9,9,1960.1
01-01-2024 09:00,25.4,25.4,17.1,53.2,580.6,580.6,0,2.9,1,29.9,9,2900.7
01-01-2024 10:00,27.9,27.9,17.1,44.5,716.7,716.7,0,2.6,1,29.9,9,3544.8
01-01-2024 11:00,30,30,17.1,37.9,813.9,813.9,0,2.3,1,29.9,9,3991.3
01-01-2024 12:00,31.4,31.4,17.1,33.4,802.8,802.8,0,2.1,1,29.9,9,3914.4
01-01-2024 13:00,32.1,32.1,17.1,30.7,719.5,719.5,0,1.9,1,29.9,9,3498.1
01-01-2024 14:00,32.2,32.2,17.1,29.2,566.7,569.4,0,1.9,0.995,29.9,9,2754.1
01-01-2024 15:00,31.7,32.2,17.1,29.1,361.1,366.7,0,2.2,0.985,29.9,9,1758.5
01-01-2024 16:00,30.4,32.2,17.1,30.5,144.4,147.2,0,2.5,0.981,29.9,9,707
01-01-2024 17:00,27,32.2,17.1,37.2,8.3,8.3,0,1.5,0,29.9,9,41.2
01-01-2024 18:00,25.8,32.2,17.1,38.9,0,0,0,2.2,0,29.8,9,0
01-01-2024 19:00,25.3,32.2,17.1,40,0,0,0,3.2,0,29.8,9,0
01-01-2024 20:00,24.3,32.2,17.1,44.5,0,0,0,3.8,0,29.8,9,0
01-01-2024 21:00,23,32.2,17.1,52.8,0,0,0,4,0,29.8,9,0
01-01-2024 22:00,21.8,32.2,17.1,62.7,0,0,0,3.6,0,29.8,9,0
01-01-2024 23:00,20.8,32.2,17.1,72.5,0,0,0,3.4,0,29.8,9,0
02-01-2024 00:00,20.1,32.2,17.1,80.4,0,0,0,2.9,0,29.8,9,0
02-01-2024 01:00,19.4,32.2,17.1,85.9,0,0,0,2.5,0,29.8,9,0
02-01-2024 02:00,19,32.2,17.1,89.4,0,0,0,2.4,0,29.8,9,0
02-01-2024 03:00,18.6,32.2,17.1,92.2,0,0,0,2.1,0,29.8,9,0
02-01-2024 04:00,18.3,32.2,17.1,93.9,0,0,0,2,0,29.7,9,0
02-01-2024 05:00,18.2,32.2,17.2,94.3,0,0,0,2.1,0,29.7,9,0
02-01-2024 06:00,18.2,32.2,18.2,93,16.7,16.7,0,2.4,1,29.7,9,83.6
02-01-2024 07:00,19.8,32.2,18.2,80.4,141.7,155.6,0,3.3,0.911,29.7,9,709.1
02-01-2024 08:00,22.2,32.2,18.2,65.9,297.2,347.2,0,3.8,0.856,29.7,9,1487.2
02-01-2024 09:00,24.6,32.2,18.2,53.8,483.3,533.3,0,3.8,0.906,29.7,9,2418.4
02-01-2024 10:00,26.9,32.2,18.2,43.9,613.9,669.4,0,3.6,0.917,29.7,9,3048.6
02-01-2024 11:00,28.7,32.2,18.2,36.6,691.7,775,0,3.4,0.893,29.7,9,3410
02-01-2024 12:00,30,32.2,18.2,32.2,688.9,766.7,0,3.2,0.899,29.7,9,3378.3
02-01-2024 13:00,30.8,32.2,18.2,29.8,608.3,686.1,0,3,0.887,29.7,9,2973.3
02-01-2024 14:00,31,31.7,18.2,29,494.4,536.1,0,3,0.922,29.7,9,2414.6
02-01-2024 15:00,30.4,31,18.2,29.5,294.4,338.9,0,3,0.869,29.7,9,1441.4
02-01-2024 16:00,29.2,31,18.2,31.3,119.4,136.1,0,2.8,0.877,29.7,9,587.4
02-01-2024 17:00,26,31,18.2,38,8.3,8.3,0,1.6,0,29.7,9,41.4
02-01-2024 18:00,25.1,31,18.2,39.8,0,0,0,2.4,0,29.7,9,0
02-01-2024 19:00,24.6,31,18.2,42,0,0,0,3.4,0,29.6,9,0
02-01-2024 20:00,23.5,31,18.2,48.3,0,0,0,3.7,0,29.6,9,0
02-01-2024 21:00,22.5,31,18.2,58.3,0,0,0,3.9,0,29.6,9,0
02-01-2024 22:00,21.5,31,18.2,68.7,0,0,0,3.8,0,29.6,9,0
02-01-2024 23:00,20.8,31,18.2,76.2,0,0,0,3.6,0,29.6,9,0
03-01-2024 00:00,20.2,31,18.2,80.8,0,0,0,3.3,0,29.6,9,0
03-01-2024 01:00,19.7,31,18.2,84.2,0,0,0,3,0,29.6,9,0
03-01-2024 02:00,19.2,31,18.2,87.5,0,0,0,2.6,0,29.6,9,0
